Sentence-IPA	Sentence Orthography	Sentence ID	Dialogue	Notes	Speaker ID	Stress of target	Focus type	Dialect	Dialogue element	File path
mɑɾjɑmə «hisusi» əsɑv	Մարիամը «Յիսուսի» ըսաւ։	sp11_d129_s3_tS_a	sp11_d129_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «hisusi» əsɑv	Ո՞վ «Յիսուսի» ըսաւ։	sp11_d129_s3_tS_q	sp11_d129_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «kiteɾə» əsɑv	Մարիամը «քիթերը» ըսաւ։	sp11_d13_s2_tO_a	sp11_d13_s2_tO		sp11	penultimate stress (-ə)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d13_s2_tO_q	sp11_d13_s2_tO		sp11	penultimate stress (-ə)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dupeɾu» əsɑv	Մարիամը «տուփերու» ըսաւ։	sp11_d130_s3_tS_a	sp11_d130_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «dupeɾu» əsɑv	Ո՞վ «տուփերու» ըսաւ։	sp11_d130_s3_tS_q	sp11_d130_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dɑseɾoɾt» əsɑv	Մարիամը «տասերորդ» ըսաւ։	sp11_d131_s2t_tO_a	sp11_d131_s2t_tO		sp11	penultimate stress (-ət)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d131_s2t_tO_q	sp11_d131_s2t_tO		sp11	penultimate stress (-ət)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hɑsɑɡəs» əsɑv	Մարիամը «հասակս» ըսաւ։	sp11_d132_s2s_tS_a	sp11_d132_s2s_tS		sp11	penultimate stress (-əs)	subject focus	WA	answer	data/data-few-issues/WA
ov «hɑsɑɡəs» əsɑv	Ո՞վ «հասակս» ըսաւ։	sp11_d132_s2s_tS_q	sp11_d132_s2s_tS		sp11	penultimate stress (-əs)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «bɑɾɑbi» əsɑv	Մարիամը «պարապի» ըսաւ։	sp11_d133_s3_tS_a	sp11_d133_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «bɑɾɑbi» əsɑv	Ո՞վ «պարապի» ըսաւ։	sp11_d133_s3_tS_q	sp11_d133_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «kiteɾu» əsɑv	Մարիամը «քիթերու» ըսաւ։	sp11_d134_s3_tO_a	sp11_d134_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d134_s3_tO_q	sp11_d134_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «pɑt͡sɑɡɑ» əsɑv	Մարիամը «բացակայ» ըսաւ։	sp11_d135_s3_tS_a	sp11_d135_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «pɑt͡sɑɡɑ» əsɑv	Ո՞վ «բացակայ» ըսաւ։	sp11_d135_s3_tS_q	sp11_d135_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «diɡini» əsɑv	Մարիամը «տիկինի» ըսաւ։	sp11_d136_s3_tS_a	sp11_d136_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «diɡini» əsɑv	Ո՞վ «տիկինի» ըսաւ։	sp11_d136_s3_tS_q	sp11_d136_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ɡoʃiɡəs» əsɑv	Մարիամը «կօշիկս» ըսաւ	sp11_d137_s2s_tV_a	sp11_d137_s2s_tV		sp11	penultimate stress (-əs)	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d137_s2s_tV_i	sp11_d137_s2s_tV		sp11	penultimate stress (-əs)	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d137_s2s_tV_n	sp11_d137_s2s_tV		sp11	penultimate stress (-əs)	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «ɡoʃiɡəs» ɡɑɾtɑt͡s	Մարիամը «կօշիկս» կարդա՞ց։	sp11_d137_s2s_tV_q	sp11_d137_s2s_tV		sp11	penultimate stress (-əs)	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «zɑdelu» əsɑv	Մարիամը «զատելու» ըսաւ	sp11_d138_s3_tV_a	sp11_d138_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d138_s3_tV_i	sp11_d138_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d138_s3_tV_n	sp11_d138_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «zɑdelu» ɡɑɾtɑt͡s	Մարիամը «զատելու» կարդա՞ց։	sp11_d138_s3_tV_q	sp11_d138_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «pɑpɑki» əsɑv	Մարիամը «փափագի» ըսաւ	sp11_d139_s3_tV_a	sp11_d139_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d139_s3_tV_i	sp11_d139_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d139_s3_tV_n	sp11_d139_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «pɑpɑki» ɡɑɾtɑt͡s	Մարիամը «փափագի» կարդա՞ց։	sp11_d139_s3_tV_q	sp11_d139_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾu» əsɑv	Մարիամը «կուտերու» ըսաւ	sp11_d14_s3_tV_a	sp11_d14_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d14_s3_tV_i	sp11_d14_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d14_s3_tV_n	sp11_d14_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾu» ɡɑɾtɑt͡s	Մարիամը «կուտերու» կարդա՞ց։	sp11_d14_s3_tV_q	sp11_d14_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «tidelu» əsɑv	Մարիամը «դիտելու» ըսաւ	sp11_d140_s3_tV_a	sp11_d140_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d140_s3_tV_i	sp11_d140_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d140_s3_tV_n	sp11_d140_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «tidelu» ɡɑɾtɑt͡s	Մարիամը «դիտելու» կարդա՞ց։	sp11_d140_s3_tV_q	sp11_d140_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «χɑnuti» əsɑv	Մարիամը «խանութի» ըսաւ։	sp11_d141_s3_tO_a	sp11_d141_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d141_s3_tO_q	sp11_d141_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «kid͡zeɾə» əsɑv	Մարիամը «գիծերը» ըսաւ։	sp11_d142_s2_tS_a	sp11_d142_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	answer	data/data-few-issues/WA
ov «kid͡zeɾə» əsɑv	Ո՞վ «գիծերը» ըսաւ։	sp11_d142_s2_tS_q	sp11_d142_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «mutoɾen» əsɑv	Մարիամը «մութօրէն» ըսաւ։	sp11_d143_s1a_tO_a	sp11_d143_s1a_tO		sp11	initial stress (adverb)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d143_s1a_tO_q	sp11_d143_s1a_tO		sp11	initial stress (adverb)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dupeɾə» əsɑv	Մարիամը «տուփերը» ըսաւ։	sp11_d144_s2_tO_a	sp11_d144_s2_tO		sp11	penultimate stress (-ə)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d144_s2_tO_q	sp11_d144_s2_tO		sp11	penultimate stress (-ə)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «zudoɾen» əsɑv	Մարիամը «զուտօրէն» ըսաւ։	sp11_d145_s1a_tS_a	sp11_d145_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	answer	data/data-few-issues/WA
ov «zudoɾen» əsɑv	Ո՞վ «զուտօրէն» ըսաւ։	sp11_d145_s1a_tS_q	sp11_d145_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «puteɾə» əsɑv	Մարիամը «բութերը» ըսաւ	sp11_d146_s2_tV_a	sp11_d146_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d146_s2_tV_i	sp11_d146_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d146_s2_tV_n	sp11_d146_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «puteɾə» ɡɑɾtɑt͡s	Մարիամը «բութերը» կարդա՞ց։	sp11_d146_s2_tV_q	sp11_d146_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «zudoɾen» əsɑv	Մարիամը «զուտօրէն» ըսաւ։	sp11_d147_s1a_tO_a	sp11_d147_s1a_tO		sp11	initial stress (adverb)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d147_s1a_tO_q	sp11_d147_s1a_tO		sp11	initial stress (adverb)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dupeɾu» əsɑv	Մարիամը «տուփերու» ըսաւ։	sp11_d148_s3_tO_a	sp11_d148_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d148_s3_tO_q	sp11_d148_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ʃɑpɑtə» əsɑv	Մարիամը «շաբաթը» ըսաւ։	sp11_d149_s2_tS_a	sp11_d149_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	answer	data/data-few-issues/WA
ov «ʃɑpɑtə» əsɑv	Ո՞վ «շաբաթը» ըսաւ։	sp11_d149_s2_tS_q	sp11_d149_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «kɑʃelu» əsɑv	Մարիամը «քաշելու» ըսաւ	sp11_d15_s3_tV_a	sp11_d15_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d15_s3_tV_i	sp11_d15_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d15_s3_tV_n	sp11_d15_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «kɑʃelu» ɡɑɾtɑt͡s	Մարիամը «քաշելու» կարդա՞ց։	sp11_d15_s3_tV_q	sp11_d15_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «puʒelə» əsɑv	Մարիամը «բուժելը» ըսաւ։	sp11_d150_s2_tS_a	sp11_d150_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	answer	data/data-few-issues/WA
ov «puʒelə» əsɑv	Ո՞վ «բուժելը» ըսաւ։	sp11_d150_s2_tS_q_?	sp11_d150_s2_tS	pause	sp11	penultimate stress (-ə)	subject focus	WA	question	data/data-moderate-issues/pause-mild/WA
mɑɾjɑmə «ɡɑbelu» əsɑv	Մարիամը «կապելու» ըսաւ։	sp11_d151_s3_tO_a	sp11_d151_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d151_s3_tO_q	sp11_d151_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «zudoɾen» əsɑv	Մարիամը «զուտօրէն» ըսաւ։	sp11_d152_s1a_tS_a	sp11_d152_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	answer	data/data-few-issues/WA
ov «zudoɾen» əsɑv	Ո՞վ «զուտօրէն» ըսաւ։	sp11_d152_s1a_tS_q	sp11_d152_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «mutoɾen» əsɑv	Մարիամը «մութօրէն» ըսաւ։	sp11_d153_s1a_tS_a	sp11_d153_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	answer	data/data-few-issues/WA
ov «mutoɾen» əsɑv	Ո՞վ «մութօրէն» ըսաւ։	sp11_d153_s1a_tS_q	sp11_d153_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «pɑpɑki» əsɑv	Մարիամը «փափագի» ըսաւ։	sp11_d154_s3_tO_a_?	sp11_d154_s3_tO	background noise	sp11	final stress	object focus	WA	answer	data/data-moderate-issues/noise-mild/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d154_s3_tO_q	sp11_d154_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «puʒumi» əsɑv	Մարիամը «բուժումի» ըսաւ։	sp11_d155_s3_tO_a	sp11_d155_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d155_s3_tO_q	sp11_d155_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hisusi» əsɑv	Մարիամը «Յիսուսի» ըսաւ	sp11_d156w_s3_tV_a	sp11_d156w_s3_tV	target word [hisusə] was misread as [hisusi]	sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d156w_s3_tV_i	sp11_d156w_s3_tV	target word [hisusə] was misread as [hisusi]	sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d156w_s3_tV_n	sp11_d156w_s3_tV	target word [hisusə] was misread as [hisusi]	sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «hisusi» ɡɑɾtɑt͡s	Մարիամը «Յիսուսի» կարդա՞ց։	sp11_d156w_s3_tV_q	sp11_d156w_s3_tV	target word [hisusə] was misread as [hisusi]	sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «zɑdelu» əsɑv	Մարիամը «զատելու» ըսաւ։	sp11_d157_s3_tO_a	sp11_d157_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d157_s3_tO_q	sp11_d157_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «pɑpɑɡi» əsɑv	Մարիամը «փափակի» ըսաւ	sp11_d158w_s3_tV_a_?	sp11_d158w_s3_tV	target word [pɑpɑɡi] was misread as [pɑpuɡi], background noise	sp11	final stress	verb focus	WA	answer	data/data-moderate-issues/noise-mild/WA
vot͡ʃ	Ոչ	sp11_d158w_s3_tV_i	sp11_d158w_s3_tV	target word [pɑpɑɡi] was misread as [pɑpuɡi], background noise	sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d158w_s3_tV_n_?	sp11_d158w_s3_tV	target word [pɑpɑɡi] was misread as [pɑpuɡi], background noise	sp11	final stress	verb focus	WA	negation	data/data-moderate-issues/noise-mild/WA
mɑɾjɑmə «pɑpɑɡi» ɡɑɾtɑt͡s	Մարիամը «փափակի» կարդա՞ց։	sp11_d158w_s3_tV_q_?	sp11_d158w_s3_tV	target word [pɑpɑɡi] was misread as [pɑpuɡi], background noise	sp11	final stress	verb focus	WA	question	data/data-moderate-issues/noise-mild/WA
mɑɾjɑmə «puteɾu» əsɑv	Մարիամը «բութերու» ըսաւ։	sp11_d159_s3_tS_a	sp11_d159_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «puteɾu» əsɑv	Ո՞վ «բութերու» ըսաւ։	sp11_d159_s3_tS_q	sp11_d159_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾu» əsɑv	Մարիամը «կուտերու» ըսաւ	sp11_d16_s3_tV_a	sp11_d16_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d16_s3_tV_i	sp11_d16_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d16_s3_tV_n	sp11_d16_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾu» ɡɑɾtɑt͡s	Մարիամը «կուտերու» կարդա՞ց։	sp11_d16_s3_tV_q	sp11_d16_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hɑvɑdɑ» əsɑv	Մարիամը «հաւատայ» ըսաւ	sp11_d160_s3_tV_a	sp11_d160_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d160_s3_tV_i	sp11_d160_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d160_s3_tV_n	sp11_d160_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «hɑvɑdɑ» ɡɑɾtɑt͡s	Մարիամը «հաւատայ» կարդա՞ց։	sp11_d160_s3_tV_q	sp11_d160_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dupeɾə» əsɑv	Մարիամը «տուփերը» ըսաւ	sp11_d161_s2_tV_a	sp11_d161_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d161_s2_tV_i	sp11_d161_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d161_s2_tV_n	sp11_d161_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «dupeɾə» ɡɑɾtɑt͡s	Մարիամը «տուփերը» կարդա՞ց։	sp11_d161_s2_tV_q	sp11_d161_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «kiteɾu» əsɑv	Մարիամը «քիթերու» ըսաւ։	sp11_d162_s3_tS_a	sp11_d162_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «kiteɾu» əsɑv	Ո՞վ «քիթերու» ըսաւ։	sp11_d162_s3_tS_q	sp11_d162_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hinoɾen» əsɑv	Մարիամը «հինօրէն» ըսաւ։	sp11_d163_s1a_tO_a	sp11_d163_s1a_tO		sp11	initial stress (adverb)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d163_s1a_tO_q	sp11_d163_s1a_tO		sp11	initial stress (adverb)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «dɑniki» əsɑv	Մարիամը «տանիքի» ըսաւ։	sp11_d164_s3_tS_a	sp11_d164_s3_tS		sp11	final stress	subject focus	WA	answer	data/data-few-issues/WA
ov «dɑniki» əsɑv	Ո՞վ «տանիքի» ըսաւ։	sp11_d164_s3_tS_q	sp11_d164_s3_tS		sp11	final stress	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «tɑpelu» əsɑv	Մարիամը «թափելու» ըսաւ	sp11_d165_s3_tV_a	sp11_d165_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d165_s3_tV_i	sp11_d165_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d165_s3_tV_n	sp11_d165_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «tɑpelu» ɡɑɾtɑt͡s	Մարիամը «թափելու» կարդա՞ց։	sp11_d165_s3_tV_q	sp11_d165_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾə» əsɑv	Մարիամը «կուտերը» ըսաւ	sp11_d166_s2_tV_a	sp11_d166_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d166_s2_tV_i	sp11_d166_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d166_s2_tV_n	sp11_d166_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «ɡudeɾə» ɡɑɾtɑt͡s	Մարիամը «կուտերը» կարդա՞ց։	sp11_d166_s2_tV_q	sp11_d166_s2_tV		sp11	penultimate stress (-ə)	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «tɑt͡soɾen» əsɑv	Մարիամը «թացօրէն» ըսաւ։	sp11_d167_s1a_tS_a	sp11_d167_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	answer	data/data-few-issues/WA
ov «tɑt͡soɾen» əsɑv	Ո՞վ «թացօրէն» ըսաւ։	sp11_d167_s1a_tS_q	sp11_d167_s1a_tS		sp11	initial stress (adverb)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «tɑtiɡi» əsɑv	Մարիամը «թաթիկի» ըսաւ	sp11_d168_s3_tV_a	sp11_d168_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d168_s3_tV_i	sp11_d168_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d168_s3_tV_n	sp11_d168_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «tɑtiɡi» ɡɑɾtɑt͡s	Մարիամը «թաթիկի» կարդա՞ց։	sp11_d168_s3_tV_q	sp11_d168_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «bɑɾɑkɑ» əsɑv	Մարիամը «պարագայ» ըսաւ	sp11_d169_s3_tV_a	sp11_d169_s3_tV		sp11	final stress	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d169_s3_tV_i	sp11_d169_s3_tV		sp11	final stress	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d169_s3_tV_n	sp11_d169_s3_tV		sp11	final stress	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «bɑɾɑkɑ» ɡɑɾtɑt͡s	Մարիամը «պարագայ» կարդա՞ց։	sp11_d169_s3_tV_q	sp11_d169_s3_tV		sp11	final stress	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hɑdiɡət» əsɑv	Մարիամը «հատիկդ» ըսաւ	sp11_d17_s2t_tV_a	sp11_d17_s2t_tV		sp11	penultimate stress (-ət)	verb focus	WA	answer	data/data-few-issues/WA
vot͡ʃ	Ոչ	sp11_d17_s2t_tV_i	sp11_d17_s2t_tV		sp11	penultimate stress (-ət)	verb focus	WA	interjection	data/data-few-issues/WA
t͡ʃəɡɑɾtɑt͡s	չկարդաց։	sp11_d17_s2t_tV_n	sp11_d17_s2t_tV		sp11	penultimate stress (-ət)	verb focus	WA	negation	data/data-few-issues/WA
mɑɾjɑmə «hɑdiɡət» ɡɑɾtɑt͡s	Մարիամը «հատիկդ» կարդա՞ց։	sp11_d17_s2t_tV_q	sp11_d17_s2t_tV		sp11	penultimate stress (-ət)	verb focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «t͡ʃutɑɡəs» əsɑv	Մարիամը «ջութակս» ըսաւ։	sp11_d170_s2s_tO_a	sp11_d170_s2s_tO		sp11	penultimate stress (-əs)	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d170_s2s_tO_q	sp11_d170_s2s_tO		sp11	penultimate stress (-əs)	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «hisusi» əsɑv	Մարիամը «Յիսուսի» ըսաւ։	sp11_d171_s3_tO_a	sp11_d171_s3_tO		sp11	final stress	object focus	WA	answer	data/data-few-issues/WA
mɑɾjɑmə int͡ʃ əsɑv	Մարիամը ի՞նչ ըսաւ։	sp11_d171_s3_tO_q	sp11_d171_s3_tO		sp11	final stress	object focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «ʃidɑɡə» əsɑv	Մարիամը «շիտակը» ըսաւ։	sp11_d172_s2_tS_a	sp11_d172_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	answer	data/data-few-issues/WA
ov «ʃidɑɡə» əsɑv	Ո՞վ «շիտակը» ըսաւ։	sp11_d172_s2_tS_q	sp11_d172_s2_tS		sp11	penultimate stress (-ə)	subject focus	WA	question	data/data-few-issues/WA
mɑɾjɑmə «χɑnutəs» əsɑv	Մարիամը «խանութս» ըսաւ։	sp11_d173_s2s_tS_a	sp11_d173_s2s_tS		sp11	penultimate stress (-əs)	subject focus	WA	answer	data/data-few-issues/WA
